conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
ICCV,2021,2021,High-Performance Discriminative Tracking with Transformers.,ICCV,Bin Yu; Ming Tang 0001; Linyu Zheng; Guibo Zhu; Jinqiao Wang; Hao Feng; Xuetao Feng; Hanqing Lu,10.1109/ICCV48922.2021.00971,https://doi.org/10.1109/ICCV48922.2021.00971,conf/iccv/Yu0ZZWFFL21,tracking;transformer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ICCV,2021,2021,Defending against Universal Adversarial Patches by Clipping Feature Norms.,ICCV,Cheng Yu; Jiansheng Chen; Youze Xue; Yuyang Liu; Weitao Wan; Jiayu Bao; Huimin Ma 0001,10.1109/ICCV48922.2021.01612,https://doi.org/10.1109/ICCV48922.2021.01612,conf/iccv/YuCXLWBM21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Dual Contrastive Loss and Attention for GANs.,ICCV,Ning Yu 0006; Guilin Liu; Aysegul Dundar; Andrew Tao; Bryan Catanzaro; Larry Davis 0001; Mario Fritz,10.1109/ICCV48922.2021.00666,https://doi.org/10.1109/ICCV48922.2021.00666,conf/iccv/YuLDTC0F21,self_supervised,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,ReconfigISP: Reconfigurable Camera Image Processing Pipeline.,ICCV,Ke Yu; Zexian Li; Yue Peng; Chen Change Loy; Jinwei Gu,10.1109/ICCV48922.2021.00421,https://doi.org/10.1109/ICCV48922.2021.00421,conf/iccv/YuLPLG21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,PlenOctrees for Real-time Rendering of Neural Radiance Fields.,ICCV,Alex Yu; Ruilong Li; Matthew Tancik; Hao Li 0015; Ren Ng; Angjoo Kanazawa,10.1109/ICCV48922.2021.00570,https://doi.org/10.1109/ICCV48922.2021.00570,conf/iccv/YuLT0NK21,three_d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Auto Graph Encoder-Decoder for Neural Network Pruning.,ICCV,Sixing Yu; Arya Mazaheri; Ali Jannesari,10.1109/ICCV48922.2021.00630,https://doi.org/10.1109/ICCV48922.2021.00630,conf/iccv/YuM021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Towards Alleviating the Modeling Ambiguity of Unsupervised Monocular 3D Human Pose Estimation.,ICCV,Zhenbo Yu; Bingbing Ni; Jingwei Xu 0005; Junjie Wang; Chenglong Zhao; Wenjun Zhang 0001,10.1109/ICCV48922.2021.00853,https://doi.org/10.1109/ICCV48922.2021.00853,conf/iccv/YuNXWZ021,pose;three_d,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,PoinTr: Diverse Point Cloud Completion with Geometry-Aware Transformers.,ICCV,Xumin Yu; Yongming Rao; Ziyi Wang 0007; Zuyan Liu; Jiwen Lu; Jie Zhou 0001,10.1109/ICCV48922.2021.01227,https://doi.org/10.1109/ICCV48922.2021.01227,conf/iccv/YuRWLL021,three_d;transformer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ICCV,2021,2021,Group-aware Contrastive Regression for Action Quality Assessment.,ICCV,Xumin Yu; Yongming Rao; Wenliang Zhao; Jiwen Lu; Jie Zhou 0001,10.1109/ICCV48922.2021.00782,https://doi.org/10.1109/ICCV48922.2021.00782,conf/iccv/YuRZL021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Artificial Fingerprinting for Generative Models: Rooting Deepfake Attribution in Training Data.,ICCV,Ning Yu 0006; Vladislav Skripniuk; Sahar Abdelnabi; Mario Fritz,10.1109/ICCV48922.2021.01418,https://doi.org/10.1109/ICCV48922.2021.01418,conf/iccv/YuSAF21,generation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Skeleton2Mesh: Kinematics Prior Injected Unsupervised Human Mesh Recovery.,ICCV,Zhenbo Yu; Junjie Wang; Jingwei Xu 0005; Bingbing Ni; Chenglong Zhao; Minsi Wang; Wenjun Zhang 0001,10.1109/ICCV48922.2021.00850,https://doi.org/10.1109/ICCV48922.2021.00850,conf/iccv/YuWXNZW021,pose,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Benchmark Platform for Ultra-Fine-Grained Visual Categorization Beyond Human Performance.,ICCV,Xiaohan Yu 0001; Yang Zhao 0019; Yongsheng Gao 0001; Xiaohui Yuan; Shengwu Xiong 0001,10.1109/ICCV48922.2021.01012,https://doi.org/10.1109/ICCV48922.2021.01012,conf/iccv/YuZ0YX21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,WaveFill: A Wavelet-based Generation Network for Image Inpainting.,ICCV,Yingchen Yu; Fangneng Zhan; Shijian Lu; Jianxiong Pan; Feiying Ma; Xuansong Xie; Chunyan Miao,10.1109/ICCV48922.2021.01385,https://doi.org/10.1109/ICCV48922.2021.01385,conf/iccv/YuZLPMXM21,generation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Training Weakly Supervised Video Frame Interpolation with Events.,ICCV,Zhiyang Yu; Yu Zhang 0035; Deyuan Liu; Dongqing Zou; Xijun Chen; Yebin Liu; Jimmy S. Ren,10.1109/ICCV48922.2021.01432,https://doi.org/10.1109/ICCV48922.2021.01432,conf/iccv/YuZLZCLR21,video;semi_supervised,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,DecentLaM: Decentralized Momentum SGD for Large-batch Deep Training.,ICCV,Kun Yuan 0001; Yiming Chen 0003; Xinmeng Huang; Yingya Zhang; Pan Pan; Yinghui Xu; Wotao Yin,10.1109/ICCV48922.2021.00302,https://doi.org/10.1109/ICCV48922.2021.00302,conf/iccv/Yuan0HZPXY21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,InstanceRefer: Cooperative Holistic Understanding for Visual Grounding on Point Clouds through Instance Multi-level Contextual Referring.,ICCV,Zhihao Yuan; Xu Yan 0005; Yinghong Liao; Ruimao Zhang; Sheng Wang 0001; Zhen Li 0026; Shuguang Cui,10.1109/ICCV48922.2021.00181,https://doi.org/10.1109/ICCV48922.2021.00181,conf/iccv/Yuan0LZ00C21,three_d;multimodal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Large-scale Robust Deep AUC Maximization: A New Surrogate Loss and Empirical Studies on Medical Image Classification.,ICCV,Zhuoning Yuan; Yan Yan 0006; Milan Sonka; Tianbao Yang,10.1109/ICCV48922.2021.00303,https://doi.org/10.1109/ICCV48922.2021.00303,conf/iccv/Yuan0SY21,classification;robustness;medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ICCV,2021,2021,Spatio-Temporal Dynamic Inference Network for Group Activity Recognition.,ICCV,Hangjie Yuan; Dong Ni 0002; Mang Wang 0001,10.1109/ICCV48922.2021.00738,https://doi.org/10.1109/ICCV48922.2021.00738,conf/iccv/Yuan0W21,classification,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Incorporating Convolution Designs into Visual Transformers.,ICCV,Kun Yuan; Shaopeng Guo; Ziwei Liu 0002; Aojun Zhou; Fengwei Yu; Wei Wu,10.1109/ICCV48922.2021.00062,https://doi.org/10.1109/ICCV48922.2021.00062,conf/iccv/YuanG0ZYW21,transformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ICCV,2021,2021,Consistency-Sensitivity Guided Ensemble Black-Box Adversarial Attacks in Low-Dimensional Spaces.,ICCV,Jianhe Yuan; Zhihai He,10.1109/ICCV48922.2021.00768,https://doi.org/10.1109/ICCV48922.2021.00768,conf/iccv/YuanH21,robustness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ICCV,2021,2021,Differentiable Dynamic Wirings for Neural Networks.,ICCV,Kun Yuan; Quanquan Li; Shaopeng Guo; Dapeng Chen; Aojun Zhou; Fengwei Yu; Ziwei Liu 0002,10.1109/ICCV48922.2021.00038,https://doi.org/10.1109/ICCV48922.2021.00038,conf/iccv/YuanLGCZY021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*.,ICCV,Jianlong Yuan; Yifan Liu 0001; Chunhua Shen; Zhibin Wang 0004; Hao Li 0030,10.1109/ICCV48922.2021.00812,https://doi.org/10.1109/ICCV48922.2021.00812,conf/iccv/YuanLSW021,segmentation;semi_supervised,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Transporting Causal Mechanisms for Unsupervised Domain Adaptation.,ICCV,Zhongqi Yue; Qianru Sun; Xian-Sheng Hua 0001; Hanwang Zhang,10.1109/ICCV48922.2021.00848,https://doi.org/10.1109/ICCV48922.2021.00848,conf/iccv/YueS0Z21,domain_adaptation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ICCV,2021,2021,Vision Transformer with Progressive Sampling.,ICCV,Xiaoyu Yue; Shuyang Sun; Zhanghui Kuang; Meng Wei; Philip H. S. Torr; Wayne Zhang 0001; Dahua Lin,10.1109/ICCV48922.2021.00044,https://doi.org/10.1109/ICCV48922.2021.00044,conf/iccv/YueSKWTZL21,transformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ICCV,2021,2021,LatentCLR: A Contrastive Learning Approach for Unsupervised Discovery of Interpretable Directions.,ICCV,Oguz Kaan Yüksel; Enis Simsar; Ezgi Gülperi Er; Pinar Yanardag,10.1109/ICCV48922.2021.01400,https://doi.org/10.1109/ICCV48922.2021.01400,conf/iccv/YukselSEY21,self_supervised,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Semantic Perturbations with Normalizing Flows for Improved Generalization.,ICCV,Oguz Kaan Yüksel; Sebastian U. Stich; Martin Jaggi; Tatjana Chavdarova,10.1109/ICCV48922.2021.00655,https://doi.org/10.1109/ICCV48922.2021.00655,conf/iccv/YukselSJC21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Pano-AVQA: Grounded Audio-Visual Question Answering on 360° Videos.,ICCV,Heeseung Yun; Youngjae Yu; Wonsuk Yang; Kangil Lee 0005; Gunhee Kim,10.1109/ICCV48922.2021.00204,https://doi.org/10.1109/ICCV48922.2021.00204,conf/iccv/YunYYLK21,multimodal;nlp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ICCV,2021,2021,Face Image Retrieval with Attribute Manipulation.,ICCV,Alireza Zaeemzadeh; Shabnam Ghadar; Baldo Faieta; Zhe Lin 0001; Nazanin Rahnavard; Mubarak Shah; Ratheesh Kalarot,10.1109/ICCV48922.2021.01190,https://doi.org/10.1109/ICCV48922.2021.01190,conf/iccv/ZaeemzadehGF0RS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Point-Based Modeling of Human Clothing.,ICCV,Ilya Zakharkin; Kirill Mazur; Artur Grigorev 0002; Victor Lempitsky,10.1109/ICCV48922.2021.01445,https://doi.org/10.1109/ICCV48922.2021.01445,conf/iccv/ZakharkinMGL21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
